molecule_id,smiles,taste
train_56,OCC1CC(O)C(O)C(OC2(CO)OC(CO)C(O)C2O)O1,6
train_57,CC(CC(=O)O)S(=O)(=O)c1ccccc1,3
train_58,COC1OCC(O)C(O)C1O,6
train_59,CSCCNS(=O)(=O)[O-].[Na+],6
train_60,CCCCC(C)NC(=O)C(N)CC(=O)O,6
train_61,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,0
train_62,CCCCCCCCCCCC[N+](C)(C)CCOc1ccccc1.[Br-],0
train_63,CCCCCS(=O)(=O)NC(=Nc1ccc(C#N)cc1)NCC(=O)O,6
train_64,COc1ccc(CCC(=O)c2c(O)cc(OC3OC(CO)C(O)C(O)C3OC3OC(C)C(O)C(O)C3O)cc2O)cc1,6
train_65,COC1CC(O)C(O)C(CO)O1,6
train_66,ON=CC1=CCCCCC1,2
train_67,NC(Cc1c[nH]c2ccccc12)C(=O)NC(Cc1ccccc1)C(=O)O,0
train_68,CC1(C)CCCC2(C)C3CC=C(C=O)C(C=O)=CC3CCC12,1
train_69,CCC(C)c1ccc(NS(=O)(=O)[O-])cc1.[Na+],5
train_70,CC(C)CC1NC(=O)C2CCCN2C1=O,0
train_71,CCc1ccc(NS(=O)(=O)[O-])cc1.[Na+],1
train_72,O=C1NS(=O)(=O)c2cc(F)ccc21,6
train_73,CCC(C)C(=O)OCC(C)NC(=O)C(N)CC(=O)O,6
train_74,CCCCCCCCCO,0
train_75,COc1ccc(C=O)cc1,0
train_76,OCC1OC(O)C(O)C1O,6
train_77,CC1OC(OC2C(Oc3cc(O)c4c(c3)OC(c3ccc(O)c(O)c3)CC4=O)OC(CO)C(O)C2O)C(O)C(O)C1O,0
train_78,COCC1OC(COC)(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,6
train_79,C=C(C)CSc1nc2c(ncn2C2OC(COP(=O)([O-])[O-])C(O)C2O)c(=O)[nH]1.[Na+].[Na+],8
train_80,NC(CC(=O)O)C(=O)NCCc1ccccc1,7
train_81,O=c1cc(-c2ccccc2)oc2ccccc12,0
train_82,COc1c2ccoc2cc2oc(=O)ccc12,0
train_83,C=C1C(=O)C23CCC4C(C)(C)CC(OOC5OC(CO)C(O)C(O)C5O)CC4(C)C2CCC1C3,0
train_84,O=[N+]([O-])c1ccccc1,6
train_85,CC(=O)OC1OCC23C(CCC(C)(C)C12)OC(=O)C12CC(CC(=O)C13)C(C)C2=O,0
train_86,C=C(C)C1CC2(O)C(CC3C(=O)C(C(=O)CC(C)C)=C(O)C32O)C1(C)C,0
train_87,O=C(O)C1(S(=O)(=O)c2ccccc2)CCCCC1,3
train_88,CCCCN1C(=O)c2ccc([N+](=O)[O-])cc2S1(=O)=O,0
train_89,O=c1c(O)c(-c2ccccc2O)oc2cc(O)cc(O)c12,0
train_90,C=C1C(=O)OC2C1CCC(=C)C1CC(OC(C)=O)C(=C)C12,0
train_91,CC(O)CCOCCC(C)O,0
train_92,S=C1NCCN1,0
train_93,C=C1CC23CCC4C(C)(C(=O)O)CCCC4(C)C2CCC1(O)C3,6
train_94,O=S(=O)([O-])[O-].[Na+].[Na+],0
train_95,O=C(O)c1cccc2ccccc12,0
train_96,COCC(=O)OC1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2C1C(C)C.Cl.Cl,0
train_97,COc1ccc(CCC(=O)c2c(O)cc(O)cc2O)cc1O,6
train_98,C=C1C(=O)C23CC1CC(OC(C)=O)C2C1(COC(C)=O)C(CCC(C)(C)C1C=O)OC3=O,7
train_99,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,0
train_100,CC(=O)OC1CC2C(C=C(C)CCC=C1C)OC(=O)C2C,0
train_101,O=C(O)CN=C(Nc1cc(Cl)cc(Cl)c1)NC(c1ccccc1)c1ccccc1,6
train_102,CN1C(=O)[N-]C(=O)C(C)(C2=CCCCC2)C1=O.[Na+],0
train_103,COc1cc(C=CC(=O)O)cc(OC)c1O,0
train_104,CCCOS(=O)(=O)NCC(C)C,2
train_105,COc1ccc(NC(N)=O)cc1,6
train_106,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1.Cl,0
train_107,CC(O)C(O)C(O)C(=O)NCCc1ccc(O)cc1,8
train_108,CCN1C(=O)c2ccccc2S1(=O)=O,7
train_109,CCCCC(C)NC(=Nc1ccc(C#N)cc1)NCC(=O)O,6
train_110,CC(C)C1NC(=O)C(Cc2ccccc2)NC1=O,0
train_111,CCCNC(=O)Nc1ccc([N+](=O)[O-])cc1,7
train_112,CC(C)C1NC(=O)C(Cc2ccc(O)cc2)NC1=O,0
train_113,O=Cc1ccco1,6
train_114,Cc1nc2c(ncn2C2OC(COP(=O)([O-])[O-])C(O)C2O)c(=O)[nH]1.[Na+].[Na+],8
train_115,OCC1OCC(O)C1O,6
train_116,O=C(OCC1OC(O)C(O)(COC(=O)c2cc(O)c(O)c(O)c2)C1O)c1cc(O)c(O)c(O)c1,1
train_117,O=S(=O)([O-])Nc1ccc(F)cc1F.[Na+],3
train_118,COc1ccc(CC2OC(=O)c3ccccc32)cc1O,7
train_119,CC(=CCO)CCC1=C(CO)CC(OC2OCC(O)C(O)C2O)C2C(C)(CO)CC(O)CC12C,7
train_120,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,0
train_121,COC(=O)c1ccc(C)c(NS(=O)(=O)[O-])c1.[Na+],6
train_122,[Cl-].[NH4+],4
train_123,CCOCCSc1nc2c(ncn2C2OC(COP(=O)([O-])[O-])C(O)C2O)c(=O)[nH]1.[Na+].[Na+],8
train_124,COc1ccc([N+](=O)[O-])cc1NS(=O)(=O)[O-].[Na+],3
train_125,C=C(C)CCCC(C)CCOC(=O)CC(C)C,2
train_126,C=C1C(=O)C23CC1CC(OC(C)=O)C2C12COC3(O)C(O)C1C(C)(C)CCC2OC(C)=O,0
train_127,OC1COC(OC2COC(O)C(O)C2O)C(O)C1O,6
train_128,CCC(CC(=O)OC(C)C)NC(=O)C(N)CC(=O)O,3
train_129,NC(Cc1c[nH]c2cc(Cl)ccc12)C(=O)O,6
train_130,Cc1cc(N=C(NCC(=O)O)NC(C)c2ccccc2)cc(C)c1C#N,6
train_131,O=C1CNC(=O)C(Cc2ccccc2)N1,0
train_132,NC(Cc1c[nH]c2ccccc12)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,0
train_133,C=C1C(=O)OC2C=C(C)CCC=C(C)CCC12,0
train_134,COc1ccc2c(c1OC)C(=O)OC2C1c2c(cc3c(c2OC)OCO3)CCN1C,0
train_135,N#Cc1ccc(N=C(NCC(=O)O)NS(=O)(=O)c2ccccc2)cc1,6
train_136,COc1ccc(C2Cc3cccc(O)c3CO2)cc1O,6
train_137,O=[N+]([O-])c1cc([N+](=O)[O-])c([O-])c([N+](=O)[O-])c1.[NH4+],0
train_138,CC(C)CC(NC(=O)CN)C(=O)O,0
train_139,NC(CCS(=O)(=O)[O-])C(=O)O.[Na+],8
train_140,COc1ccc(CSc2ccccc2)cc1O,6
train_141,O=S(=O)([O-])Nc1cccc([S-])c1.[Na+].[Na+],3
train_142,NCCCCC(N)C(=O)O,6
train_143,O=S(=O)([O-])Nc1cc(C(F)(F)F)ccc1F.[Na+],3
train_144,COS(=O)(=O)NC1CCCCC1C,0
train_145,O=C(O)CC1NC(=O)C(Cc2ccccc2)NC1=O,0
train_146,COS(=O)(=O)NC1CCCCC1,2
train_147,CCOc1ccc(CCC(=O)c2ccccc2O)cc1O,6
train_148,C=C1C(=O)OC2C3C(CO)=CC(=O)C3=C(C)CC(OC(=O)Cc3ccc(O)cc3)C12,0
train_149,CC(=O)OCC12C(CCC(C)(C)C1C(=O)O)OC(=O)C13CC(CC(O)C12)C(C)C3=O,0
train_150,O=c1c(-c2ccccc2)coc2cc(O)ccc12,0
train_151,CCC(C)C(=O)OC(C)C1(O)CCC2(O)C3CCC4CC(OC5CC(OC)C(OC6CC(OC)C(OC7OC(C)C(OC8OC(CO)C(OC9OC(CO)C(O)C(O)C9O)C(O)C8O)C(OC)C7O)C(C)O6)C(C)O5)CCC4(C)C3CC(OC(C)=O)C12C,7
train_152,O=S(=O)(NC1CCCCC1)OC1CCCCC1,2
train_153,Cc1ccccn1,0
train_154,C=C1C(=O)OC2C=C(C)C(O)CCC(C)=CC(O)C12,0
train_155,C=C(C)C1C2OC(=O)C1C1(O)CC3OC34C(=O)OC2C14C.CC(C)(O)C1C2OC(=O)C1C1(O)CC3OC34C(=O)OC2C14C,0
train_156,ClC(Cl)C(Cl)Cl,6
train_157,CCC(=O)OCC(CC)NC(=O)C(N)CC(=O)O,6
train_158,Oc1ccc(-c2[o+]c3cc(O)cc(O)c3cc2O)cc1,0
train_159,C1CCc2nnnn2CC1,0
train_160,CCc1[nH]c2ccccc2c1CC(NC(=O)C1CCCN1C(=O)C(CC(N)=O)NC(=O)C(NC(=O)C(CC(N)=O)NC(=O)C1CCCN1C(=O)CNC(=O)C(Cc1ccccc1)NC(=O)C(CC(C)C)NC(=O)C(N)CCC(N)=O)C(C)C)C(=O)O,2
train_161,CCOC(=O)C(CO)NC(=O)C(N)CC(=O)O,6
train_162,O=C1CCCC2C3CCCN4CCCC(CN12)C34,0
train_163,NC(=Nc1ccc([N+](=O)[O-])cc1)NCC(=O)O,6
train_164,CCOC(=O)C(NC(=O)C(N)CC(=O)O)C(=O)OC1C2(C)CCC(C2)C1(C)C,6
train_165,CC(C)=CCCC(C)(O)C1CCC(C)=CC1O,3
train_166,O=c1c(-c2ccccc2)coc2ccccc12,0
train_167,O=C1NCC(=O)N2CCCC12,0
train_168,CCOc1cccc(NS(=O)(=O)[O-])c1.[Na+],6
train_169,CC(COC(=O)C1CC1)NC(=O)C(N)CC(=O)O,6
train_170,CSCCNc1nc2c(ncn2C2OC(COP(=O)(O)O)C(O)C2O)c(=O)[nH]1,8
train_171,Cn1cc[nH]c1=S,0
train_172,Oc1ccc(C=Cc2cc(O)cc(O)c2)cc1,0
train_173,COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)c(OC)c3o2)cc1OC,0
train_174,OCC1OC(OC2(CBr)OC(CBr)C(Br)C2O)C(O)C(O)C1F,6
train_175,Cc1cccc(C)c1NC(=O)C[N+](C)(C)CCCCCCCCCl,0
train_176,O=C(O)CCCNC(=O)Nc1ccc([N+](=O)[O-])cc1,7
train_177,C=C(C)C1CC23C(=O)C(C(=O)C(C)CC)=C(O)C(CC=C(C)C)(CC2C1(C)C)C3=O,0
train_178,CC(=O)OC(C)(C)C=CC(=O)C(C)(O)C1C(O)CC2(C)C3CC=C4C(C=C(O)C(=O)C4(C)C)C3(C)C(=O)CC12C,0
train_179,CC(C)=CCC1(CC=C(C)C)C(=O)C(O)=C(C(=O)CC(C)C)C1=O,0
train_180,O=S(=O)([O-])Nc1cc(Cl)cc(Cl)c1.[Na+],6
train_181,O=C(O)C(CC(O)C(O)CO)Nc1nc2c(ncn2C2OC(COP(=O)(O)O)C(O)C2O)c(=O)[nH]1,8
train_182,NC(CC(=O)O)C(=O)NC(CO)COC(=O)C1CCC1,6
train_183,COc1ccc(C2SCc3ccccc3CS2)cc1O,7
train_184,c1cc(-c2ccncc2)ccn1,0
train_185,NC(CC(=O)O)C(=O)[O-].[Na+],8
train_186,c1cncnc1,0
train_187,CC(C)CC(NC(=O)C(N)CCC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(N)=O)C(=O)N1CCCC1C(=O)NC(CO)C(=O)NC(C(=O)NC(CC(N)=O)C(=O)N1CCCC1C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O)C(C)O,2
train_188,CCCCCOc1ccc(CCc2ccccc2)cc1O,7
train_189,CCCCCCC(C)=O,0
train_190,CCCCN(CCCC)CCN1S(=O)(=O)c2ccccc2S1(=O)=O,0
train_191,COc1ccc(-c2cc(=O)c3c(O)cccc3o2)cc1O,7
train_192,Nc1cccc(C(=O)O)c1,6
train_193,COc1cc(CCC(=O)c2c(O)cc(OC3OC(CO)C(O)C(O)C3OC3OC(C)C(O)C(O)C3O)cc2O)ccc1O,7
train_194,CC(CCC1(O)OC2CC3C4CCC5CC(OC6(C)OC(C)(CO)C(C)(COCC7(C)OC(C)(CO)C(C)(O)C(C)(O)C7(C)OC7(C)OC(C)(CO)C(C)(O)C(C)(O)C7(C)O)C(C)(O)C6(C)O)CCC5(C)C4CCC3(C)C2C1C)COCC1(C)OC(C)(CO)C(C)(O)C(C)(O)C1(C)O,0
train_195,NC(CC(=O)O)C(=O)NCCc1ccc(F)cc1,6
train_196,CCCOC(=O)C(CO)NC(=O)C(CC(=O)O)NC(=O)Nc1ccc(C#N)cc1,6
train_197,Cc1nccc2c1[nH]c1ccccc12,0
train_198,CCC(CC)NS(=O)(=O)[O-].[Na+],3
train_199,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)ccc12,0
train_200,CCCCCC(C=CC=CCCCCCCCC(=O)O)OO,1
train_201,COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1,0
train_202,CCC1CN2CCc3cc(OC)c(OC)cc3C2CC1CC1NCCc2cc(O)c(OC)cc21,0
train_203,O=C(C=Cc1ccc(O)cc1)Nc1ccccc1C(=O)O,0
train_204,NC(CS)C(=O)O,2
train_205,Nc1cccc([N+](=O)[O-])c1,6
train_206,N#Cc1ccc(NS(=O)(=O)[O-])cc1.[Na+],1
train_207,CC(C)C1CCC(C)C23CCC(C)(O)C2C13,1
train_208,Cc1cccc(NC(N)=O)c1,0
train_209,CCOC(=O)C(NC(=O)C(N)CC(=O)O)C(C)O,6
train_210,CC(=O)c1ccc(NS(=O)(=O)[O-])cc1.[Na+],3
train_211,CC1OC(OC2C(OC3CCC4(C)C(=CCC5C4CCC4(C)C5CC5OC6(CCC(C)(COC7OC(CO)C(O)C(O)C7O)O6)C(C)C54)C3)OC(CO)C(OC3OC(CO)C(O)C(OC4OC(CO)C(O)C(O)C4O)C3O)C2O)C(O)C(O)C1O,0
train_212,COc1c(O)cc2oc(-c3ccc(O)c(O)c3)cc(=O)c2c1O,0
train_213,CC1=CCC(C=NO)=CC1,6
train_214,O=C1c2c(O)cc(O)cc2OC(c2ccc(O)c(O)c2)C1O,0
train_215,CC(C)OC(=O)C(C)NC(=O)C(N)CC(=O)O,6
train_216,O=S(=O)([O-])NC1CCCCC1.O=S(=O)([O-])NC1CCCCC1.[Ca+2],6
train_217,CCCOC(=O)C(CCC)NC(=O)C(N)CC(=O)O,6
train_218,CC12CCC(C1)C(C)(C)C2=O,0
train_219,CC(C)C(COC(=O)C1CC1)NC(=O)C(N)CC(=O)O,6
train_220,COc1cc(C=CC(=O)OC2OC(CO)C(O)C(O)C2O)cc(OC)c1O,0
train_221,CC[N+](C)(CC(=O)Nc1c(C)cccc1C)Cc1ccc(Cl)cc1,0
train_222,O=c1cc(-c2ccc(O)cc2)oc2ccccc12,0
train_223,C=CCc1ccc(OC)cc1.CC12CCC(C1)C(C)(C)C2=O.CC=Cc1ccc(OC)cc1,0
train_224,COc1cc(C)nc(NS(=O)(=O)[O-])n1.[Na+],3
train_225,O=S(=O)([O-])Nc1cccc(O)c1.[Na+],3
train_226,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,0
train_227,CC(Cc1ccccc1)NC(=O)C(N)CC(=O)O,6
train_228,COc1cc2c(cc1O)C(COc1ccccc1)OCC2,7
train_229,COc1cc(C=CC(=O)NCCc2ccc(O)cc2)ccc1O,0
train_230,N#Cc1ccc(NC(=O)NC(CC(=O)O)c2ccccc2)cc1,6
train_231,COC1CC(O)C(O)C(C)O1,0
train_232,O=C(O)CC(O)C(=O)O,5
train_233,Cc1ccc(NS(=O)(=O)[O-])cc1F.[Na+],0
train_234,CCCOC(=O)C(CC)NC(=O)C(N)CC(=O)O,6
train_235,O=C(O)CNC(=Nc1ccccc1)NCC1CCCCC1,6
train_236,O=S(=O)([O-])Nc1cc(C(F)(F)F)ccc1Cl.[Na+],3
train_237,CC=C(C)C(=O)OC1CC2C(CC=C3CC(O)CCC32C)C2(O)CCC(C(C)=O)C12C,0
train_238,O=S(=O)([O-])NC1CCCCCSC1.[Na+],3
train_239,CCOC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O,6
train_240,CC1=CC2C3C4C(=C(C)C3C13C1OC(=O)C(C)C1CCC(C)(O)C23)C1OC(=O)C(C)C1CCC4(C)O,0
train_241,C=C1CC23CCC4C(C)(C(=O)OC5OC(CO)C(O)C(O)C5OC5OC(CO)C(O)C(O)C5O)CCCC4(C)C2CCC1(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O)C3,6
train_242,Nc1cccc2c1S(=O)(=O)NC2=O,6
train_243,CCCOc1ccc(NC(N)=O)cc1,6
train_244,CC1CC(C)C(C(=O)O)(S(=O)(=O)c2ccccc2)CC1C,3
train_245,O=S(=O)(CCl)NCc1ccccc1,6
train_246,CCCCC(C)NC(=Nc1cc(Cl)cc(Cl)c1)NCC(=O)O,6
train_247,CC1(C)CC1(C(=O)O)S(=O)(=O)c1ccc(O)cc1,6
train_248,COCC1CC=C(C=NO)CC1,6
train_249,ON=CC1=CCCCC1,6
train_250,CCc1cccc(C)c1NS(=O)(=O)[O-].[Na+],2
train_251,CCCOC(=O)C(C)NC(=O)C(N)CC(=O)O,6
train_252,CC(NC(=Nc1ccc2ccccc2c1)NCC(=O)O)c1ccccc1,6
train_253,NC(CC(O)(Cc1c[nH]c2ccccc12)C(=O)O)C(=O)[O-].[Na+],6
train_254,CCC(C)C(=O)C1=C(O)C(O)(C(=O)C=CC(C)C)C(CC=C(C)C)C1=O,0
train_255,COc1ccc(CC(C(=O)O)c2ccccc2)cc1O,7
train_256,CCCCCN1C(=O)c2ccc([N+](=O)[O-])cc2S1(=O)=O,0
train_257,CC(C)CC(=O)c1c(O)c(C2OC(CO)C(O)C(O)C2O)c(O)c(C2OC(CO)C(O)C(O)C2O)c1O,0
train_258,COCC(O)CCCCc1ccccc1,0
train_259,O=C(c1ccccc1)C(O)c1ccccc1,0
train_260,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1.O=S(=O)(O)CCO.O=S(=O)(O)CCO,0
train_261,CCCCCC(O)C=CC=CCCCCCCCC(=O)O,2
train_262,CN(C)C=Nc1c(I)cc(I)c(CCC(=O)[O-])c1I.[Na+],0
train_263,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12.O=S(=O)(O)O,0
train_264,CC(=O)NC1C(O)OC(CO)C(O)C1O,6
train_265,O=S(=O)([O-])NC1CSCCSC1.[Na+],1
train_266,O=C(O)CNC(=Nc1ccc2ccccc2n1)NC1CCCCCCC1,6
train_267,c1cc[nH]c1,0
train_268,CC(C)CC(N)C(=O)NC(C)C(=O)O,0
train_269,CCN(CC)CCN1C(=O)c2ccccc2S1(=O)=O,0
train_270,O=c1[nH]c(-c2ccccc2)nc2c1ncn2C1OC(COP(=O)([O-])[O-])C(O)C1O.[Na+].[Na+],8
train_271,CC1(c2ccccc2)C(=O)NC(=O)NC1=O,0
train_272,COC(C)=O,0
train_273,COC1=CC(C)C2CC3OC(=O)CC4C(C)=C(OC)C(=O)C(C2(C)C1=O)C34C,0
train_274,CCCC1=C(C)OS(=O)(=O)NC1=O,6
train_275,COC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NC(=O)Nc1ccc(C(C)=O)cc1,6
train_276,O=S(=O)([O-])NCCCO.[Na+],3
train_277,CC(C)CC(N)C(=O)NC(Cc1ccccc1)C(=O)O,0
train_278,Cc1cc(=O)[nH]c(=S)[nH]1,0
train_279,O=c1[nH]c(=O)c2ncn(C3OC(COP(=O)(O)O)C(O)C3O)c2[nH]1,8
train_280,O=C(CCc1ccc(O)c(O)c1)NCCCCN(CCCNC(=O)CCc1ccc(O)c(O)c1)C(=O)CCc1ccc(O)c(O)c1,0
train_281,CC1=C2C(=O)C=C(CO)C2C2OC(=O)C(C)C2C(O)C1,0
train_282,O=[N+]([O-])c1cc(NS(=O)(=O)[O-])ccc1F.[Na+],3
train_283,CC(C)CC(N)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,0
train_284,Cc1cccc(C)c1NC(=O)C[N+](C)(C)CCl,0
train_285,O=C(O)CNC(=Nc1cc(Cl)cc(Cl)c1)NCC1CCCCC1,6
train_286,O=C(C(Cl)Cl)N(CCO)Cc1ccc(Cl)cc1Cl,0
train_287,N#Cc1ccc(N=C(NCC(=O)O)NC2CCCCCCC2)cn1,6
train_288,OCC=Cc1ccccc1,0
train_289,CCOC(C)(C)CCc1c(O)cc(OC)c(C(=O)C=Cc2ccc(O)cc2)c1O,0
train_290,c1ccncc1,0
train_291,COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,0
train_292,CCOC(=O)c1c(N)sc2c1CCN(Cc1ccccc1)C2.Cl,0
train_293,CCCCS(=O)(=O)NC(=Nc1ccc(C#N)cc1)NCC(=O)O,6
train_294,Cc1c(F)cccc1NS(=O)(=O)[O-].[Na+],3
train_295,CC(C)=CC(O)CC(C)C1CCC2(C)C3C(O)C=C4C(CCC(O)C4(C)C)C3(C=O)CCC12C,0
train_296,CC(C)=CCc1c(O)c(O)c(O)c2c1OC(C)(C)CC2=O,0
train_297,Oc1ccc(C2COc3cc(O)ccc3C2)cc1,0
train_298,CCOC(=O)c1ccccc1NS(=O)(=O)[O-].[Na+],1
train_299,OCC1OC(O)(CO)C(O)C1O,6
train_300,COc1cccc(NS(=O)(=O)[O-])c1.[Na+],1
train_301,CCCSCC(NC(=O)C(N)CC(=O)O)C(=O)OC,6
train_302,NC(CCC(=O)NC(Cc1ccc(O)cc1)C(=O)O)C(=O)O,0
train_303,OO,0
train_304,CC1=C2C3OC(=O)C(C)C3CCC2(C)C=CC1=O,0
train_305,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,0
train_306,COc1c(C)c(O)c(CC(O)C(C)(C)OC)c(O)c1C(=O)C=Cc1ccc(O)cc1,0
train_307,COc1ccc(-c2cc(=S)ss2)cc1,0
train_308,COc1ccc(C=NO)cc1,2
train_309,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)ccc12,0
train_310,COc1cc2c(=O)c(-c3ccc(O)cc3)coc2cc1O,0
train_311,NCC(=O)O,6
train_312,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,0
train_313,C=CC(C)(CCC=C(C)C)OC=O,2
train_314,O=C(CCc1ccc(O)cc1)c1c(O)cccc1O,7
train_315,O=Cc1ccc2n1CC1(CC(O)C(O)CO1)OC2,0
train_316,CC(COC(=O)C1CCC1)NC(=O)C(N)CC(=O)O,6
